# Synthetic forcing generated from example_hourly_rainfall_PET.txt
# Ten cycles of the input sequence. PET replicated each cycle.
# Annual (cycle) precip scaled to PET_total * N(1.0, 0.2).
# YYYY MM DD HH MM P(mm) PET(mm)
2009  5  6 17  0 0.00000 0.20998
2009  5  6 18  0 0.00000 0.36308
2009  5  6 19  0 0.00000 0.26338
2009  5  6 20  0 0.00000 0.17008
2009  5  6 21  0 0.00000 0.19394
2009  5  6 22  0 0.00000 0.22300
2009  5  6 23  0 0.00000 0.18875
2009  5  7  0  0 0.00000 0.06766
2009  5  7  1  0 0.00000 0.00326
2009  5  7  2  0 0.00000 0.00000
2009  5  7  3  0 0.00000 0.00000
2009  5  7  4  0 0.00000 0.00000
2009  5  7  5  0 0.00000 0.00000
2009  5  7  6  0 0.00000 0.00000
2009  5  7  7  0 0.00000 0.00000
2009  5  7  8  0 0.00000 0.00000
2009  5  7  9  0 0.00000 0.00000
2009  5  7 10  0 0.00000 0.00000
2009  5  7 11  0 0.00000 0.00017
2009  5  7 12  0 0.00000 0.02868
2009  5  7 13  0 0.00000 0.12886
2009  5  7 14  0 0.00000 0.24064
2009  5  7 15  0 0.00000 0.35611
2009  5  7 16  0 0.00000 0.42239
2009  5  7 17  0 0.00000 0.32903
2009  5  7 18  0 0.00000 0.38868
2009  5  7 19  0 0.00000 0.47508
2009  5  7 20  0 0.00000 0.32781
2009  5  7 21  0 0.00000 0.21618
2009  5  7 22  0 0.00000 0.19564
2009  5  7 23  0 0.00000 0.10711
2009  5  8  0  0 0.00000 0.02336
2009  5  8  1  0 0.00000 0.00113
2009  5  8  2  0 0.00000 0.00004
2009  5  8  3  0 0.00000 0.00000
2009  5  8  4  0 0.00000 0.00000
2009  5  8  5  0 0.00000 0.00000
2009  5  8  6  0 0.00000 0.00000
2009  5  8  7  0 0.00000 0.00000
2009  5  8  8  0 0.00000 0.00000
2009  5  8  9  0 0.00000 0.00000
2009  5  8 10  0 0.00000 0.00000
2009  5  8 11  0 0.00000 0.00013
2009  5  8 12  0 0.00000 0.02954
2009  5  8 13  0 0.00000 0.08977
2009  5  8 14  0 0.00000 0.18682
2009  5  8 15  0 0.00000 0.29518
2009  5  8 16  0 0.00000 0.29908
2009  5  8 17  0 0.00000 0.40670
2009  5  8 18  0 0.19327 0.46120
2009  5  8 19  0 0.07247 0.56192
2009  5  8 20  0 0.00000 0.50996
2009  5  8 21  0 0.00000 0.19523
2009  5  8 22  0 0.00000 0.04262
2009  5  8 23  0 0.00000 0.04838
2009  5  9  0  0 0.00000 0.02375
2009  5  9  1  0 0.00000 0.00200
2009  5  9  2  0 0.00000 0.00000
2009  5  9  3  0 0.00000 0.00000
2009  5  9  4  0 0.00000 0.00000
2009  5  9  5  0 0.00000 0.00000
2009  5  9  6  0 0.00000 0.00000
2009  5  9  7  0 0.00000 0.00000
2009  5  9  8  0 0.00000 0.00000
2009  5  9  9  0 0.00000 0.00000
2009  5  9 10  0 0.00000 0.00000
2009  5  9 11  0 0.00000 0.00030
2009  5  9 12  0 0.00000 0.02268
2009  5  9 13  0 0.00000 0.09070
2009  5  9 14  0 0.00000 0.21142
2009  5  9 15  0 0.00000 0.31504
2009  5  9 16  0 0.00000 0.32517
2009  5  9 17  0 1.28042 0.39706
2009  5  9 18  0 0.12079 0.35945
2009  5  9 19  0 0.00000 0.22790
2009  5  9 20  0 0.00000 0.18516
2009  5  9 21  0 0.00000 0.18111
2009  5  9 22  0 0.00000 0.15248
2009  5  9 23  0 0.00000 0.07741
2009  5 10  0  0 0.00000 0.01746
2009  5 10  1  0 0.00000 0.00120
2009  5 10  2  0 0.00000 0.00000
2009  5 10  3  0 0.00000 0.00000
2009  5 10  4  0 0.00000 0.00000
